duration	vid
    1:23	f9uZ0REjIjo
    1:24	xxFqPNPJuU8
    1:26	4ClLMrfYmmw
    1:31	xRF7WIZV4lA
    1:38	Nv4Nk4AAgk8
    1:40	Tqt9hZcWhJM
    1:53	FaB41TtgS54
    1:55	Pw0IZg7_4mo
    2:03	Hug0rfFC_L8
    2:07	cR9uphgMZ8U
    2:32	fMJqwD7_-NU
    3:34	F3QpgXBtDeo
    3:36	HEYbgyL5n1g
    3:38	8nHBGFKLHZQ
    3:47	pVbLlnmxIbY
    4:36	AQPlREDW-Ro
    4:39	IXxZRZxafEQ
    4:44	rcOFV4y5z8c
    4:58	_lNF3_30lUE
    5:02	t7tA3NNKF0Q
    5:03	Uti2niW2BRA
    5:04	UuGrBhK2c7U
    5:11	ZW3aV7U-aik
    5:26	qPQQwqGWktE
    5:31	sRv19gkZ4E0
    5:34	X9otDixAtFw
    5:34	y0opgc1WoS4
    5:43	qNWWrDBRBqk
    5:46	NbuUW9i-mHs
    5:51	LS-VPyLaJFM
    5:55	J0ldO87Pprc
    5:55	wNDGgL73ihY
    5:56	e-P5IFTqB98
    5:57	QOCaacO8wus
    5:58	xZbcwi7SfZE
    5:59	ijFm6DxNVyI
    6:03	9tbxDgcv74c
    6:10	fTTGALaRZoc
    6:10	JtUAAXe_0VI
    6:10	MBRqu0YOH14
    6:11	RLykC1VN7NY
    6:12	GqA42M4RtxE
    6:14	V9_PjdU3Mpo
    6:16	mZsaaturR6E
    6:17	1fQkVqno-uI
    6:17	4_aOIA-vyBo
    6:21	QAa2O_8wBUQ
    6:21	sNhhvQGsMEc
    6:26	wJUXLqNHCaI
    6:28	JQVmkDUkZT4
    6:29	qsN1LglrX9s
    6:33	21eFwbb48sE
    6:35	DHyUYg8X31c
    6:40	f7KSfjv4Oq0
    6:40	QsBT5EQt348
    6:44	PKMQzkIiB0Y
    6:48	GoJsr4IwCm4
    6:48	uFk0mgljtns
    6:49	zQGOcOUBi6s
    6:55	MUWUHf-rzks
    6:57	RVMZxH1TIIQ
    7:04	TnzcwTyr6cE
    7:09	YI3tsmFsrOg
    7:10	2XkV6IpV2Y0
    7:15	rvskMHn0sqQ
    7:16	ZL4yYHdDSWs
    7:17	JhHMJCUmq28
    7:21	KsF_hdjWJjo
    7:21	MjdpR-TY6QU
    7:22	JGXi_9A__Vc
    7:31	16W7c0mb-rE
    7:36	FfgT6zx4k3Q
    7:37	-O5kNPlUV7w
    7:38	VzPD009qTN4
    7:42	XxutY7ss1v4
    7:43	NMo3nZHVrZ4
    7:53	czgOWmtGVGs
    7:55	h4Uu5eyN6VU
    7:55	h6fcK_fRYaI
    7:56	y8XvQNt26KI
    8:00	Da-2h2B4faU
    8:00	JyECrGp-Sw8
    8:06	1AElONvi9WQ
    8:15	dqwpQarrDwk
    8:25	M7CkdB5z9PY
    8:28	p_8yK2kmxoo
    8:30	YbgnlkJPga4
    8:32	8HslUzw35mc
    8:35	7_e0CA_nhaE
    8:35	BtN-goy9VOY
    8:39	yS1ibDImAYU
    8:40	BSypUV6QUNw
    8:41	qEfPBt9dU60
    8:41	udFxKZRyQt4
    8:43	5TbUxGZtwGI
    8:46	tlTKTTt47WE
    8:49	NxvQPzrg2Wg
    8:56	5iPH-br_eJQ
    9:00	v3y8AIEX_dU
    9:02	RS7IzU2VJIQ
    9:03	7TmcXYp8xu4
    9:04	B3QTAgHlwEg
    9:10	dSu5sXmsur4
    9:12	9P6rdqiybaw
    9:15	ulCdoCfw-bY
    9:17	VB_GWz25B3Q
    9:20	8PmM6SUn7Es
    9:22	uqKGREZs6-w
    9:23	cqECNYmM23A
    9:23	pP44EPBMb8A
    9:34	oakWgLqCwUc
    9:36	JXeJANDKwDc
    9:36	UjtOGPJ0URM
    9:39	dGiQaabX3_o
    9:40	kP15q815Saw
    9:41	H6u0VBqNBQ8
    9:43	oHHSSJDJ4oo
    9:45	ck4RGeoHFko
    9:46	gLZJlf5rHVs
    9:55	Pj-h6MEgE7I
    9:58	NtQkz0aRDe8
   10:01	WPPPFqsECz0
   10:05	ouAccsTzlGU
   10:06	kl39KHS07Xc
   10:07	wbR-5mHI6bo
   10:13	yWO-cvGETRQ
   10:28	XFqn3uy238E
   10:36	ipVxxxqwBQw
   10:39	Jzfpyo-q-RM
   10:40	7OPg-ksxZ4Y
   10:41	CWu29PRCUvQ
   10:43	EhAemz1v7dQ
   10:44	Qsbe1pD8ocE
   10:48	lXfEK8G8CUI
   10:55	Us2Z-WC9rao
   10:56	zBkVCpbNnkU
   11:04	4u5I8GYB79Y
   11:05	E1KkQrFEl2I
   11:10	1-NxodiGPCU
   11:19	q4DF3j4saCE
   11:23	FfWtIaDtfYk
   11:28	HpcTJW4ur54
   11:31	75d_29QWELk
   11:31	QImCld9YubE
   11:33	W93XyXHI8Nw
   11:36	PaErPyEnDvk
   11:41	rhFK5_Nx9xY
   11:41	uzkD5SeuwzM
   11:41	WSKi8HfcxEk
   11:41	xaQJbozY_Is
   11:48	hOfRN0KihOU
   11:57	KRvv0QdruMQ
   11:58	LmpuerlbJu0
   11:59	3mnSDifDSxQ
   11:59	fXb02MQ78yQ
   12:02	dFCbJmgeHmA
   12:08	F1Hq8eVOMHs
   12:09	I9hJ_Rux9y0
   12:12	xAUJYP8tnRE
   12:15	QqsLTNkzvaY
   12:23	aeWyp2vXxqA
   12:30	n3Xv_g3g-mA
   12:31	LEENEFaVUzU
   12:31	lheapd7bgLA
   12:48	G-WO-z-QuWI
   13:44	0FH9cgRhQ-k
   13:58	4b33NTAuF5E
   15:50	yiw6_JakZFc
   16:04	jAhjPd4uNFY
   16:11	LxgMdjyw8uw
   25:56	0FRVx_c9T0c
